year,city,country,avg_temp
1857,Durban,South Africa,19.52
1858,Durban,South Africa,19.83
1859,Durban,South Africa,19.90
1860,Durban,South Africa,20.01
1861,Durban,South Africa,19.85
1862,Durban,South Africa,19.44
1863,Durban,South Africa,19.85
1864,Durban,South Africa,19.85
1865,Durban,South Africa,20.17
1866,Durban,South Africa,20.10
1867,Durban,South Africa,20.19
1868,Durban,South Africa,19.86
1869,Durban,South Africa,20.20
1870,Durban,South Africa,19.88
1871,Durban,South Africa,19.97
1872,Durban,South Africa,19.97
1873,Durban,South Africa,20.44
1874,Durban,South Africa,20.00
1875,Durban,South Africa,19.71
1876,Durban,South Africa,19.73
1877,Durban,South Africa,20.20
1878,Durban,South Africa,20.14
1879,Durban,South Africa,19.68
1880,Durban,South Africa,19.92
1881,Durban,South Africa,20.00
1882,Durban,South Africa,19.73
1883,Durban,South Africa,19.98
1884,Durban,South Africa,19.66
1885,Durban,South Africa,19.93
1886,Durban,South Africa,20.08
1887,Durban,South Africa,19.60
1888,Durban,South Africa,20.21
1889,Durban,South Africa,20.61
1890,Durban,South Africa,20.30
1891,Durban,South Africa,20.04
1892,Durban,South Africa,20.19
1893,Durban,South Africa,19.59
1894,Durban,South Africa,19.70
1895,Durban,South Africa,19.82
1896,Durban,South Africa,20.55
1897,Durban,South Africa,20.10
1898,Durban,South Africa,19.56
1899,Durban,South Africa,19.83
1900,Durban,South Africa,20.46
1901,Durban,South Africa,19.92
1902,Durban,South Africa,19.91
1903,Durban,South Africa,19.99
1904,Durban,South Africa,19.97
1905,Durban,South Africa,19.84
1906,Durban,South Africa,19.79
1907,Durban,South Africa,19.66
1908,Durban,South Africa,19.86
1909,Durban,South Africa,20.12
1910,Durban,South Africa,19.31
1911,Durban,South Africa,19.73
1912,Durban,South Africa,20.27
1913,Durban,South Africa,20.41
1914,Durban,South Africa,20.50
1915,Durban,South Africa,20.14
1916,Durban,South Africa,19.99
1917,Durban,South Africa,19.59
1918,Durban,South Africa,19.94
1919,Durban,South Africa,20.17
1920,Durban,South Africa,20.22
1921,Durban,South Africa,19.86
1922,Durban,South Africa,20.35
1923,Durban,South Africa,20.58
1924,Durban,South Africa,19.73
1925,Durban,South Africa,20.37
1926,Durban,South Africa,20.44
1927,Durban,South Africa,20.49
1928,Durban,South Africa,20.34
1929,Durban,South Africa,20.33
1930,Durban,South Africa,20.06
1931,Durban,South Africa,20.43
1932,Durban,South Africa,20.55
1933,Durban,South Africa,20.32
1934,Durban,South Africa,20.54
1935,Durban,South Africa,19.63
1936,Durban,South Africa,19.97
1937,Durban,South Africa,20.47
1938,Durban,South Africa,20.54
1939,Durban,South Africa,20.10
1940,Durban,South Africa,20.77
1941,Durban,South Africa,20.93
1942,Durban,South Africa,20.59
1943,Durban,South Africa,20.06
1944,Durban,South Africa,20.66
1945,Durban,South Africa,20.43
1946,Durban,South Africa,20.74
1947,Durban,South Africa,20.55
1948,Durban,South Africa,20.53
1949,Durban,South Africa,20.55
1950,Durban,South Africa,20.62
1951,Durban,South Africa,19.99
1952,Durban,South Africa,20.66
1953,Durban,South Africa,20.38
1954,Durban,South Africa,20.12
1955,Durban,South Africa,19.79
1956,Durban,South Africa,20.14
1957,Durban,South Africa,20.56
1958,Durban,South Africa,20.68
1959,Durban,South Africa,20.35
1960,Durban,South Africa,20.51
1961,Durban,South Africa,20.70
1962,Durban,South Africa,20.92
1963,Durban,South Africa,20.53
1964,Durban,South Africa,20.32
1965,Durban,South Africa,20.27
1966,Durban,South Africa,20.58
1967,Durban,South Africa,20.50
1968,Durban,South Africa,20.02
1969,Durban,South Africa,20.79
1970,Durban,South Africa,20.68
1971,Durban,South Africa,20.19
1972,Durban,South Africa,20.47
1973,Durban,South Africa,20.28
1974,Durban,South Africa,20.58
1975,Durban,South Africa,20.20
1976,Durban,South Africa,20.36
1977,Durban,South Africa,20.94
1978,Durban,South Africa,20.54
1979,Durban,South Africa,20.73
1980,Durban,South Africa,20.77
1981,Durban,South Africa,20.27
1982,Durban,South Africa,20.78
1983,Durban,South Africa,21.25
1984,Durban,South Africa,20.61
1985,Durban,South Africa,21.34
1986,Durban,South Africa,21.08
1987,Durban,South Africa,21.02
1988,Durban,South Africa,20.90
1989,Durban,South Africa,20.82
1990,Durban,South Africa,20.56
1991,Durban,South Africa,21.06
1992,Durban,South Africa,21.53
1993,Durban,South Africa,21.32
1994,Durban,South Africa,20.65
1995,Durban,South Africa,20.73
1996,Durban,South Africa,20.49
1997,Durban,South Africa,20.57
1998,Durban,South Africa,21.22
1999,Durban,South Africa,21.64
2000,Durban,South Africa,20.74
2001,Durban,South Africa,21.25
2002,Durban,South Africa,21.07
2003,Durban,South Africa,21.11
2004,Durban,South Africa,21.11
2005,Durban,South Africa,21.14
2006,Durban,South Africa,20.86
2007,Durban,South Africa,21.07
2008,Durban,South Africa,20.89
2009,Durban,South Africa,20.71
2010,Durban,South Africa,21.54
2011,Durban,South Africa,20.72
2012,Durban,South Africa,21.24
2013,Durban,South Africa,21.31
